51 82
0	38	4
1	2	1
1	8	3
1	9	5
2	3	6
3	4	12
4	23	8
4	5	10
5	28	2
5	18	5
6	5	3
6	16	3
7	13	3
7	6	1
7	8	2
8	1	3
8	7	2
8	12	4
9	10	9
9	1	5
9	2	5
10	9	9
10	50	21
11	10	8
11	20	9
12	11	3
13	14	3
13	12	3
14	11	3
15	20	9
20	15	9
15	14	1
16	15	2
16	17	1
17	16	1
18	19	7
18	15	3
19	20	4
19	36	1
20	11	9
20	39	3
21	22	1
21	31	3
22	23	6
22	30	4
23	24	5
24	25	2
24	26	4
25	26	3
26	27	9
27	29	20
28	21	2
28	35	5
29	44	6
30	31	1
31	32	1
31	29	6
32	33	3
33	21	2
34	33	2
34	35	3
35	36	9
35	28	5
35	18	2
36	35	9
36	39	3
36	37	1
37	36	1
37	41	2
37	34	9
38	37	4
38	39	2
38	40	2
39	20	3
39	36	3
39	38	2
40	38	2
40	46	9
41	40	5
41	37	2
42	41	7
42	43	2
43	42	2
44	42	3
44	34	7
45	50	12
45	47	11
45	48	11
45	46	11
46	45	11
47	49	4
48	0	3
48	47	3
49	20	5
49	0	5
50	10	21
50	45	12
